OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
cable car;aerialway > cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;['cable car', 'taxi stand', 'electric vehicle charging station', 'platform', 'tram station', 'intersection', 'road', 'train', 'truck stop', 'transport hub', 'border crossing', 'rental car location', 'rail station', 'towing service', 'light rail station', 'ski chairlift', 'toll plaza', 'heliport', 'climbing gym', 'car parts accessories'];[0.598671555519104, 0.3071759045124054, 0.29470929503440857, 0.29320812225341797, 0.2829093635082245, 0.27790361642837524, 0.2666117548942566, 0.25537434220314026, 0.2536316514015198, 0.2516883313655853, 0.2379113733768463, 0.23766115307807922, 0.2364489734172821, 0.23582056164741516, 0.2248978614807129, 0.2237292230129242, 0.21777565777301788, 0.21716740727424622, 0.21686139702796936, 0.21580824255943298];cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;travel transportation > cable car;cable car;1;1;1;1;aerialway;aerialway > cable car
gondola;aerialway > gondola;An aerialway where the cabins go around in a circle.;['cabin', 'campground', 'travel lounge', 'lodge', 'motel', 'boarding house', 'resort', 'boat launch', 'mountain hut', 'skydiving center', 'plaza', 'structure', 'island', 'rest area', 'lodging', 'skydiving drop zone', 'stable', 'forest', 'harbor marina', 'great outdoors'];[0.45079126954078674, 0.4183979332447052, 0.40174227952957153, 0.38747546076774597, 0.3830811381340027, 0.37816524505615234, 0.37513476610183716, 0.3685859739780426, 0.3683392107486725, 0.3647006154060364, 0.35778555274009705, 0.3519228398799896, 0.3505997359752655, 0.34626609086990356, 0.34577232599258423, 0.34218186140060425, 0.33771786093711853, 0.3295554518699646, 0.32785600423812866, 0.32763952016830444];great outdoors;An aerialway where the cabins go around in a circle.;sports recreation > snow sports > ski resort area;ski resort area;0;0;0;0;aerialway;aerialway > gondola
mixed lift;aerialway > mixed lift;A mixed lift, containing both gondolas and chairs.;['ski chairlift', 'travel lounge', 'wings joint', 'boarding house', 'airport lounge', 'cabin', 'airfield', 'plane', 'lodge', 'platform', 'lodging', 'inn', 'skydiving center', 'hot air balloon tour agency', 'airport gate', 'resort', 'pilates studio', 'pier', 'rest area', 'arcade'];[0.4349488615989685, 0.3579840064048767, 0.32115426659584045, 0.31302544474601746, 0.301626056432724, 0.29582375288009644, 0.2802408039569855, 0.28009384870529175, 0.26129090785980225, 0.26057979464530945, 0.24276529252529144, 0.23782594501972198, 0.23526674509048462, 0.2299390286207199, 0.22958892583847046, 0.225798100233078, 0.22447338700294495, 0.2224089652299881, 0.22124642133712769, 0.21743325889110565];ski chairlift;A mixed lift, containing both gondolas and chairs.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > mixed lift
chair lift;aerialway > chair lift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;['ski chairlift', 'travel lounge', 'skydiving center', 'airport lounge', 'outdoor gym', 'cabin', 'skydiving drop zone', 'airfield', 'yoga studio', 'pilates studio', 'gym', 'equestrian facility', 'boat launch', 'ballroom', 'hot air balloon tour agency', 'indoor play area', 'palace', 'outdoor event space', 'flight school', 'auditorium'];[0.5001718997955322, 0.3591412603855133, 0.3480420708656311, 0.34542644023895264, 0.31976139545440674, 0.3102813959121704, 0.2935827672481537, 0.2897656559944153, 0.28870320320129395, 0.2841718792915344, 0.2696341872215271, 0.26730167865753174, 0.2611156105995178, 0.2599177658557892, 0.256745845079422, 0.2560913562774658, 0.2539947032928467, 0.2523917853832245, 0.24948923289775848, 0.24633854627609253];ski chairlift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > chair lift
drag lift;aerialway > drag lift;An overhead tow-line for skiers and riders.;['ski chairlift', 'ski chalet', 'ski lodge', 'ski trail', 'ski store', 'ski resort area', 'snow sports', 'personal trainer', 'rafting outfitter', 'skydiving center', 'rugby', 'surfing', 'skating', 'gymnastics', 'equestrian facility', 'skydiving drop zone', 'golf', 'golf driving range', 'apres ski bar', 'canoe kayak rental'];[0.5556505918502808, 0.48668426275253296, 0.47208401560783386, 0.4708236753940582, 0.43823522329330444, 0.43052276968955994, 0.42909032106399536, 0.42462819814682007, 0.4146604537963867, 0.40181463956832886, 0.3987199068069458, 0.3794659972190857, 0.37715357542037964, 0.3712899088859558, 0.36886999011039734, 0.36572888493537903, 0.36457598209381104, 0.36434298753738403, 0.36233484745025635, 0.35175395011901855];snow sports;An overhead tow-line for skiers and riders.;sports recreation > snow sports > ski resort area;ski resort area;0;1;0;1;aerialway;aerialway > drag lift
tbar;aerialway > tbar;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;['ski chairlift', 'ski store', 'platform', 'hot air balloon tour agency', 'ski chalet', 'ski lodge', 'ski trail', 'apres ski bar', 'travel transportation', 'general travel', 'cabin', 'travel lounge', 'travel agency', 'canoe kayak rental', 'boarding house', 'lodging', 'train', 'ski resort area', 'boat rental', 'resort'];[0.42591989040374756, 0.39768365025520325, 0.3761533796787262, 0.3738209009170532, 0.3738085627555847, 0.3721330761909485, 0.36626487970352173, 0.35540664196014404, 0.35401374101638794, 0.35071974992752075, 0.34644824266433716, 0.3464115858078003, 0.3419013023376465, 0.3413466215133667, 0.33771252632141113, 0.3337283730506897, 0.3330056965351105, 0.33181098103523254, 0.3305817246437073, 0.3303178548812866];ski chairlift;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > tbar
jbar;aerialway > jbar;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;['ski chairlift', 'ski store', 'apres ski bar', 'ski chalet', 'ski trail', 'climbing gym', 'ski lodge', 'rafting outfitter', 'personal trainer', 'ski resort area', 'yoga studio', 'outdoor gym', 'gym', 'surfing', 'cycle studio', 'gym studio', 'bike rental', 'snow sports', 'equestrian facility', 'canoe kayak rental'];[0.4725956320762634, 0.4018324315547943, 0.38732731342315674, 0.37522944808006287, 0.3638416528701782, 0.3510691523551941, 0.3450675308704376, 0.34181416034698486, 0.3411860167980194, 0.3363809883594513, 0.3318212032318115, 0.3236144185066223, 0.32045549154281616, 0.3156477212905884, 0.315334677696228, 0.31532222032546997, 0.31381285190582275, 0.31271135807037354, 0.30966997146606445, 0.3047190308570862];ski resort area;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;1;1;1;aerialway;aerialway > jbar
platter;aerialway > platter;An overhead tow-line for skiers and riders with platters.;['ski chairlift', 'apres ski bar', 'ski chalet', 'ski store', 'ski lodge', 'ski resort area', 'ski trail', 'snow sports', 'rafting outfitter', 'rugby', 'rugby pitch', 'equestrian facility', 'skydiving center', 'sailing club', 'canoe kayak rental', 'surfing', 'hockey', 'rafting spot', 'fishing store', 'wings joint'];[0.505675733089447, 0.45501789450645447, 0.43423953652381897, 0.43394213914871216, 0.4336254596710205, 0.3996869921684265, 0.3897937536239624, 0.3870549499988556, 0.36821305751800537, 0.34258201718330383, 0.34068626165390015, 0.31106036901474, 0.3078242540359497, 0.30764472484588623, 0.3074539601802826, 0.3063817024230957, 0.30619388818740845, 0.30519920587539673, 0.3044513761997223, 0.3019132614135742];ski chairlift;An overhead tow-line for skiers and riders with platters.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > platter
rope tow;aerialway > rope tow;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;['ski chairlift', 'ski trail', 'ski store', 'ski chalet', 'personal trainer', 'ski lodge', 'rafting outfitter', 'ski resort area', 'rugby', 'snow sports', 'apres ski bar', 'rugby pitch', 'fishing area', 'towing service', 'gymnastics', 'canoe kayak rental', 'sports club', 'golf', 'sports recreation', 'skydiving center'];[0.5141677260398865, 0.4640553593635559, 0.4427856206893921, 0.4425865411758423, 0.4291485548019409, 0.42246466875076294, 0.4153275489807129, 0.40568000078201294, 0.3969672918319702, 0.38681021332740784, 0.38178688287734985, 0.3664764165878296, 0.36240261793136597, 0.3542495369911194, 0.35389912128448486, 0.34296005964279175, 0.3425022065639496, 0.3415987491607666, 0.34057414531707764, 0.33567559719085693];ski resort area;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;1;1;1;aerialway;aerialway > rope tow
magic carpet;aerialway > magic carpet;A ski lift for small children resembling a conveyor belt.;['ski chairlift', 'ski store', 'carpet store', 'ski trail', 'ski chalet', 'circus school', 'carpet flooring contractor', 'circus', 'toy store', 'luggage store', 'skydiving center', 'skate store', 'ski resort area', 'roller rink', 'childrens clothing store', 'surf store', 'hobby store', 'flight school', 'auto workshop', 'child care service'];[0.4634220600128174, 0.41741079092025757, 0.37508898973464966, 0.3728705644607544, 0.35653093457221985, 0.35537922382354736, 0.33927616477012634, 0.3361490070819855, 0.3282385468482971, 0.3196913003921509, 0.31476956605911255, 0.3120580315589905, 0.31146666407585144, 0.30899345874786377, 0.30706217885017395, 0.2980625629425049, 0.2934548556804657, 0.2934114336967468, 0.29301050305366516, 0.29151657223701477];ski chairlift;A ski lift for small children resembling a conveyor belt.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > magic carpet
