OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
cable car;aerialway > cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;['cable car', 'taxi stand', 'electric vehicle charging station', 'platform', 'tram station', 'intersection', 'road', 'train', 'truck stop', 'transport hub'];[0.598671555519104, 0.3071759045124054, 0.29470929503440857, 0.29320812225341797, 0.2829093635082245, 0.27790361642837524, 0.2666117548942566, 0.25537434220314026, 0.2536316514015198, 0.2516883313655853];cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;travel transportation > cable car;cable car;1;1;1;1;aerialway;aerialway > cable car
gondola;aerialway > gondola;An aerialway where the cabins go around in a circle.;['cabin', 'campground', 'travel lounge', 'lodge', 'motel', 'boarding house', 'resort', 'boat launch', 'mountain hut', 'skydiving center'];[0.45079126954078674, 0.4183979332447052, 0.40174227952957153, 0.38747546076774597, 0.3830811381340027, 0.37816524505615234, 0.37513476610183716, 0.3685859739780426, 0.3683392107486725, 0.3647006154060364];cabin;An aerialway where the cabins go around in a circle.;sports recreation > snow sports > ski resort area;ski resort area;0;0;0;0;aerialway;aerialway > gondola
mixed lift;aerialway > mixed lift;A mixed lift, containing both gondolas and chairs.;['ski chairlift', 'travel lounge', 'wings joint', 'boarding house', 'airport lounge', 'cabin', 'airfield', 'plane', 'lodge', 'platform'];[0.4349488615989685, 0.3579840064048767, 0.32115426659584045, 0.31302544474601746, 0.301626056432724, 0.29582375288009644, 0.2802408039569855, 0.28009384870529175, 0.26129090785980225, 0.26057979464530945];ski chairlift;A mixed lift, containing both gondolas and chairs.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > mixed lift
chair lift;aerialway > chair lift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;['ski chairlift', 'travel lounge', 'skydiving center', 'airport lounge', 'outdoor gym', 'cabin', 'skydiving drop zone', 'airfield', 'yoga studio', 'pilates studio'];[0.5001718997955322, 0.3591412603855133, 0.3480420708656311, 0.34542644023895264, 0.31976139545440674, 0.3102813959121704, 0.2935827672481537, 0.2897656559944153, 0.28870320320129395, 0.2841718792915344];ski chairlift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > chair lift
drag lift;aerialway > drag lift;An overhead tow-line for skiers and riders.;['ski chairlift', 'ski chalet', 'ski lodge', 'ski trail', 'ski store', 'ski resort area', 'snow sports', 'personal trainer', 'rafting outfitter', 'skydiving center'];[0.5556505918502808, 0.48668426275253296, 0.47208401560783386, 0.4708236753940582, 0.43823522329330444, 0.43052276968955994, 0.42909032106399536, 0.42462819814682007, 0.4146604537963867, 0.40181463956832886];ski chairlift;An overhead tow-line for skiers and riders.;sports recreation > snow sports > ski resort area;ski resort area;0;1;0;1;aerialway;aerialway > drag lift
tbar;aerialway > tbar;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;['ski chairlift', 'ski store', 'platform', 'hot air balloon tour agency', 'ski chalet', 'ski lodge', 'ski trail', 'apres ski bar', 'travel transportation', 'general travel'];[0.42591989040374756, 0.39768365025520325, 0.3761533796787262, 0.3738209009170532, 0.3738085627555847, 0.3721330761909485, 0.36626487970352173, 0.35540664196014404, 0.35401374101638794, 0.35071974992752075];ski chairlift;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > tbar
jbar;aerialway > jbar;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;['ski chairlift', 'ski store', 'apres ski bar', 'ski chalet', 'ski trail', 'climbing gym', 'ski lodge', 'rafting outfitter', 'personal trainer', 'ski resort area'];[0.4725956320762634, 0.4018324315547943, 0.38732731342315674, 0.37522944808006287, 0.3638416528701782, 0.3510691523551941, 0.3450675308704376, 0.34181416034698486, 0.3411860167980194, 0.3363809883594513];ski chairlift;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > jbar
platter;aerialway > platter;An overhead tow-line for skiers and riders with platters.;['ski chairlift', 'apres ski bar', 'ski chalet', 'ski store', 'ski lodge', 'ski resort area', 'ski trail', 'snow sports', 'rafting outfitter', 'rugby'];[0.505675733089447, 0.45501789450645447, 0.43423953652381897, 0.43394213914871216, 0.4336254596710205, 0.3996869921684265, 0.3897937536239624, 0.3870549499988556, 0.36821305751800537, 0.34258201718330383];ski chairlift;An overhead tow-line for skiers and riders with platters.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > platter
rope tow;aerialway > rope tow;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;['ski chairlift', 'ski trail', 'ski store', 'ski chalet', 'personal trainer', 'ski lodge', 'rafting outfitter', 'ski resort area', 'rugby', 'snow sports'];[0.5141677260398865, 0.4640553593635559, 0.4427856206893921, 0.4425865411758423, 0.4291485548019409, 0.42246466875076294, 0.4153275489807129, 0.40568000078201294, 0.3969672918319702, 0.38681021332740784];ski resort area;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;1;1;1;aerialway;aerialway > rope tow
magic carpet;aerialway > magic carpet;A ski lift for small children resembling a conveyor belt.;['ski chairlift', 'ski store', 'carpet store', 'ski trail', 'ski chalet', 'circus school', 'carpet flooring contractor', 'circus', 'toy store', 'luggage store'];[0.4634220600128174, 0.41741079092025757, 0.37508898973464966, 0.3728705644607544, 0.35653093457221985, 0.35537922382354736, 0.33927616477012634, 0.3361490070819855, 0.3282385468482971, 0.3196913003921509];ski chairlift;A ski lift for small children resembling a conveyor belt.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;1;1;aerialway;aerialway > magic carpet
zip line;aerialway > zip line;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;['skydiving center', 'rafting outfitter', 'skydiving drop zone', 'climbing gym', 'flight school', 'hot air balloon tour agency', 'stable', 'rafting spot', 'field', 'circus school'];[0.3077312111854553, 0.30651217699050903, 0.28949275612831116, 0.27307915687561035, 0.2602868378162384, 0.2349238097667694, 0.223802387714386, 0.21964974701404572, 0.21727414429187775, 0.2163049876689911];skydiving center;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;sports recreation;sports recreation;0;0;0;0;aerialway;aerialway > zip line
goods;aerialway > goods;A cable supported lift for conveying goods, not passengers.;['cable car', 'travel transportation', 'platform', 'shipping freight material transportation service', 'port', 'travel lounge', 'transportation service', 'toll booth', 'train', 'transport hub'];[0.5650882720947266, 0.44158631563186646, 0.432603120803833, 0.4130544066429138, 0.40388989448547363, 0.3841063976287842, 0.3830180764198303, 0.38027727603912354, 0.37977439165115356, 0.3796425759792328];shipping freight material transportation service;A cable supported lift for conveying goods, not passengers.;travel transportation > cable car;cable car;0;1;1;1;aerialway;aerialway > goods
pylon;aerialway > pylon;A pylon supporting the aerialway cable.;['cable car', 'rugby pitch', 'rafting outfitter', 'fishing store', 'skydiving center', 'ballroom', 'canal', 'taxi stand', 'flight school', 'bridge'];[0.2753535211086273, 0.2124462127685547, 0.19299960136413574, 0.19201180338859558, 0.19105568528175354, 0.17926180362701416, 0.17862895131111145, 0.17705287039279938, 0.17401547729969025, 0.16832807660102844];cable car;A pylon supporting the aerialway cable.;travel transportation > cable car;cable car;1;1;1;1;aerialway;aerialway > pylon
station;aerialway > station;A station where passengers and/or goods can enter and/or leave the aerialway;['airfield', 'lodging', 'tram station', 'rail station', 'rest area', 'travel lounge', 'toll plaza', 'heliport', 'plane', 'airport tram station'];[0.43658024072647095, 0.4333359897136688, 0.4318355321884155, 0.42480385303497314, 0.4103025197982788, 0.4019103944301605, 0.4005088806152344, 0.3967127203941345, 0.39472997188568115, 0.3943827152252197];airport tram station;A station where passengers and/or goods can enter and/or leave the aerialway;travel transportation > transport hub > airport;airport;0;0;0;0;aerialway;aerialway > station
aerodrome;aeroway > aerodrome;An aerodrome, airport or airfield;['airfield', 'airport lounge', 'international airport', 'plane', 'airport', 'airport service', 'airport gate', 'private airport', 'airport terminal', 'airport tram station'];[0.7093546390533447, 0.592889666557312, 0.5901039838790894, 0.5740894675254822, 0.5612133741378784, 0.5533801317214966, 0.5503709316253662, 0.5239334106445312, 0.5056760311126709, 0.42988553643226624];airport;An aerodrome, airport or airfield;travel transportation > transport hub > airport;airport;1;1;0;1;aeroway;aeroway > aerodrome
aircraft crossing;aeroway > aircraft crossing;A point where the flow of traffic is impacted by crossing aircraft.;['border crossing', 'intersection', 'plane', 'toll plaza', 'airfield', 'airport', 'airport gate', 'international airport', 'toll booth', 'heliport'];[0.45909383893013, 0.3668149709701538, 0.33773526549339294, 0.3288922905921936, 0.32076865434646606, 0.2923026978969574, 0.2902137041091919, 0.282260000705719, 0.2822420299053192, 0.2795516848564148];airport;A point where the flow of traffic is impacted by crossing aircraft.;travel transportation > road > intersection;intersection;0;1;0;1;aeroway;aeroway > aircraft crossing
apron;aeroway > apron;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;['airfield', 'plane', 'airport lounge', 'airport gate', 'international airport', 'baggage claim', 'airport terminal', 'airport', 'baggage locker', 'airport service'];[0.4976039528846741, 0.452426016330719, 0.4398452937602997, 0.4347086548805237, 0.42164933681488037, 0.4065204858779907, 0.40404176712036133, 0.3979135751724243, 0.3926432430744171, 0.38912254571914673];airport;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;travel transportation > transport hub > airport;airport;1;1;0;1;aeroway;aeroway > apron
gate;aeroway > gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;['airport gate', 'airport terminal', 'plane', 'airfield', 'airport lounge', 'international airport', 'airport', 'airport service', 'cabin', 'boarding house'];[0.5861457586288452, 0.4362080693244934, 0.41259777545928955, 0.4034934639930725, 0.4023926258087158, 0.3461567461490631, 0.3423639237880707, 0.33681774139404297, 0.3310443162918091, 0.3275950849056244];airport gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;travel transportation > transport hub > airport > airport gate;airport gate;1;1;1;1;aeroway;aeroway > gate
hangar;aeroway > hangar;A large airport building with extensive floor area for housing aircraft or spacecraft.;['airfield', 'airport lounge', 'plane', 'cabin', 'boarding house', 'travel lounge', 'airport gate', 'international airport', 'airport terminal', 'airport'];[0.5107539296150208, 0.5060945749282837, 0.4750087857246399, 0.46829089522361755, 0.44905513525009155, 0.41717588901519775, 0.41106659173965454, 0.4096400737762451, 0.4007142186164856, 0.39710667729377747];airport;A large airport building with extensive floor area for housing aircraft or spacecraft.;travel transportation > transport hub > airport;airport;1;1;0;1;aeroway;aeroway > hangar
helipad;aeroway > helipad;A landing area or platform designed for helicopters;['heliport', 'airfield', 'skydiving drop zone', 'skydiving center', 'plane', 'airport gate', 'platform', 'ski chairlift', 'airport lounge', 'surf spot'];[0.4180431663990021, 0.38661834597587585, 0.3543461561203003, 0.34705400466918945, 0.328369677066803, 0.30476510524749756, 0.30207011103630066, 0.2711896002292633, 0.26686710119247437, 0.2586742043495178];heliport;A landing area or platform designed for helicopters;travel transportation > transport hub > heliport;heliport;1;1;1;1;aeroway;aeroway > helipad
heliport;aeroway > heliport;A special aerodrome built for helicopters.;['heliport', 'airfield', 'plane', 'airport lounge', 'international airport', 'private airport', 'airport', 'airport gate', 'windmill', 'airport service'];[0.5535774230957031, 0.5290158987045288, 0.4497584104537964, 0.41404855251312256, 0.39874428510665894, 0.3969586193561554, 0.3937687873840332, 0.3915024399757385, 0.35167646408081055, 0.3472030758857727];heliport;A special aerodrome built for helicopters.;travel transportation > transport hub > heliport;heliport;1;1;1;1;aeroway;aeroway > heliport
navigationaid;aeroway > navigationaid;A facility that supports visual navigation for aircraft;['travel lounge', 'travel agency', 'plane', 'platform', 'skydiving center', 'flight school', 'heliport', 'airport lounge', 'hot air balloon tour agency', 'transport hub'];[0.3362331688404083, 0.31411027908325195, 0.3136475682258606, 0.2944704294204712, 0.290426105260849, 0.28967398405075073, 0.28720590472221375, 0.28185057640075684, 0.2793238162994385, 0.27205023169517517];plane;A facility that supports visual navigation for aircraft;travel transportation > transport hub > airport;airport;0;0;0;0;aeroway;aeroway > navigationaid
runway;aeroway > runway;A strip of land on which aircraft can take off and land.;['airfield', 'plane', 'airport gate', 'skydiving drop zone', 'intersection', 'baggage claim', 'airport terminal', 'international airport', 'airport tram station', 'airport'];[0.35916176438331604, 0.33975768089294434, 0.30227130651474, 0.27986806631088257, 0.2503330111503601, 0.2457195222377777, 0.2385474443435669, 0.23806674778461456, 0.2289302945137024, 0.22741591930389404];airport;A strip of land on which aircraft can take off and land.;travel transportation > transport hub > airport;airport;1;1;0;1;aeroway;aeroway > runway
spaceport;aeroway > spaceport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;['airfield', 'airport lounge', 'airport terminal', 'airport', 'plane', 'international airport', 'marine terminal', 'airport service', 'airport gate', 'private airport'];[0.5404232740402222, 0.49819111824035645, 0.4870679974555969, 0.4867970943450928, 0.47238588333129883, 0.4595457911491394, 0.4563857913017273, 0.44724041223526, 0.44267934560775757, 0.41465067863464355];airport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;travel transportation;travel transportation;0;0;0;0;aeroway;aeroway > spaceport
taxiway;aeroway > taxiway;A route where airplanes manouevre between runways and parking areas within an aerodrome;['airfield', 'airport gate', 'airport lounge', 'plane', 'international airport', 'airport', 'taxi stand', 'parking', 'airport terminal', 'airport service'];[0.6383033990859985, 0.5340403914451599, 0.5297781229019165, 0.5252234935760498, 0.5038613080978394, 0.4940679669380188, 0.48202261328697205, 0.4797782599925995, 0.4745401442050934, 0.4635457694530487];airfield;A route where airplanes manouevre between runways and parking areas within an aerodrome;travel transportation > transport hub > airport > airfield;airfield;1;1;1;1;aeroway;aeroway > taxiway
