OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
cable car;aerialway > cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;['cable car', 'train', 'intersection', 'tram station', 'plane', 'ski chairlift', 'towing service', 'taxi stand', 'transport hub', 'electric vehicle charging station', 'light rail station', 'climbing gym', 'street', 'rescue service', 'automotive retail', 'heliport', 'metro station', 'pedestrian plaza', 'transmissions shop', 'race track'];[0.6217359304428101, 0.3551778793334961, 0.3513522744178772, 0.3460535407066345, 0.30171525478363037, 0.29233869910240173, 0.27888768911361694, 0.2598227560520172, 0.2555178999900818, 0.2459307610988617, 0.2417498379945755, 0.23814606666564941, 0.23279394209384918, 0.22084322571754456, 0.21689942479133606, 0.21582409739494324, 0.21503399312496185, 0.21224592626094818, 0.211257666349411, 0.21100041270256042];cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > cable car
gondola;aerialway > gondola;An aerialway where the cabins go around in a circle.;['campground', 'heliport', 'cabin', 'mountain hut', 'lodge', 'resort', 'beach', 'platform', 'hot air balloon tour agency', 'great outdoors', 'skydiving drop zone', 'skydiving center', 'travel lounge', 'rv park', 'airport gate', 'island', 'cable car', 'harbor marina', 'plaza', 'sailing club'];[0.4323963224887848, 0.4263588786125183, 0.38365355134010315, 0.3728926181793213, 0.36949998140335083, 0.3483043909072876, 0.33705973625183105, 0.3365005850791931, 0.3332451581954956, 0.32913681864738464, 0.32306522130966187, 0.3128329813480377, 0.3101744055747986, 0.31001943349838257, 0.30920302867889404, 0.30848509073257446, 0.3053837716579437, 0.3043905198574066, 0.3002644181251526, 0.2940904498100281];cable car;An aerialway where the cabins go around in a circle.;sports recreation > snow sports > ski resort area;ski resort area;0;0;aerialway;aerialway > gondola
mixed lift;aerialway > mixed lift;A mixed lift, containing both gondolas and chairs.;['ski chairlift', 'plane', 'heliport', 'airport gate', 'platform', 'airport lounge', 'wings joint', 'amphitheater', 'airfield', 'airport', 'travel lounge', 'skydiving center', 'private airport', 'airport service', 'gymnastics', 'hot air balloon tour agency', 'cable car', 'cabin', 'bridge', 'international airport'];[0.40856632590293884, 0.3875163197517395, 0.3863084018230438, 0.33094707131385803, 0.32257455587387085, 0.3086990714073181, 0.29371508955955505, 0.2814350128173828, 0.2710493803024292, 0.2689049243927002, 0.2613862156867981, 0.2492305040359497, 0.24737563729286194, 0.23640935122966766, 0.23625533282756805, 0.23474210500717163, 0.23465469479560852, 0.23015332221984863, 0.22942247986793518, 0.22209356725215912];cable car;A mixed lift, containing both gondolas and chairs.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;0;aerialway;aerialway > mixed lift
chair lift;aerialway > chair lift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;['ski chairlift', 'skydiving center', 'amphitheater', 'platform', 'airport gate', 'airport lounge', 'plane', 'heliport', 'skydiving drop zone', 'airport', 'outdoor gym', 'gymnastics', 'airfield', 'travel lounge', 'hot air balloon tour agency', 'yoga studio', 'picnic shelter', 'field', 'roof deck', 'pilates studio'];[0.4358901381492615, 0.37696951627731323, 0.35391372442245483, 0.3276044726371765, 0.3262172341346741, 0.3206673264503479, 0.3176930546760559, 0.30783939361572266, 0.3049619197845459, 0.3038173317909241, 0.2973898947238922, 0.2899865508079529, 0.28363925218582153, 0.28320056200027466, 0.2816919982433319, 0.2681042551994324, 0.2679993212223053, 0.2632513642311096, 0.25826016068458557, 0.2579454779624939];ski chairlift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > chair lift
drag lift;aerialway > drag lift;An overhead tow-line for skiers and riders.;['ski chairlift', 'ski lodge', 'snow sports', 'rafting outfitter', 'cable car', 'ski store', 'ski trail', 'skydiving center', 'ski resort area', 'ski chalet', 'personal trainer', 'surfing', 'swimming', 'golf driving range', 'skydiving drop zone', 'apres ski bar', 'skating', 'sailing club', 'plane', 'hot air balloon tour agency'];[0.6415678262710571, 0.4467814266681671, 0.4229992926120758, 0.4213843047618866, 0.4202190041542053, 0.41506555676460266, 0.41293084621429443, 0.41004663705825806, 0.40865635871887207, 0.4077652394771576, 0.37983638048171997, 0.37681663036346436, 0.3745255172252655, 0.362454354763031, 0.3538210988044739, 0.3496519923210144, 0.34708642959594727, 0.34644055366516113, 0.340304434299469, 0.33971884846687317];ski chairlift;An overhead tow-line for skiers and riders.;sports recreation > snow sports > ski resort area;ski resort area;0;1;aerialway;aerialway > drag lift
tbar;aerialway > tbar;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;['ski chairlift', 'cable car', 'airport', 'ski store', 'plane', 'hot air balloon tour agency', 'train', 'airport gate', 'airport service', 'taxi', 'ski lodge', 'platform', 'international airport', 'rafting outfitter', 'ski chalet', 'resort', 'flight school', 'airfield', 'public transportation', 'transportation service'];[0.5058327317237854, 0.4414774179458618, 0.40549206733703613, 0.40311330556869507, 0.3903105854988098, 0.380329430103302, 0.37621212005615234, 0.37332528829574585, 0.3654072880744934, 0.36429280042648315, 0.3556199073791504, 0.35213392972946167, 0.3495420217514038, 0.34103795886039734, 0.34084802865982056, 0.3311421871185303, 0.3301810026168823, 0.32996708154678345, 0.3295254707336426, 0.32663118839263916];ski chairlift;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > tbar
jbar;aerialway > jbar;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;['ski chairlift', 'ski store', 'rafting outfitter', 'climbing gym', 'personal trainer', 'cable car', 'ski lodge', 'ski resort area', 'apres ski bar', 'golf store', 'ski chalet', 'surf store', 'ski trail', 'yoga studio', 'gym', 'skydiving center', 'gym studio', 'outdoor gym', 'plane', 'snow sports'];[0.5057717561721802, 0.38095441460609436, 0.34789931774139404, 0.3412107229232788, 0.34017401933670044, 0.34015601873397827, 0.33976197242736816, 0.33478063344955444, 0.32483649253845215, 0.3206707835197449, 0.314008891582489, 0.30660492181777954, 0.30431708693504333, 0.3018948435783386, 0.29957273602485657, 0.29872584342956543, 0.29803580045700073, 0.2968686521053314, 0.29665523767471313, 0.2956671714782715];ski chairlift;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > jbar
platter;aerialway > platter;An overhead tow-line for skiers and riders with platters.;['ski chairlift', 'ski lodge', 'ski store', 'rafting outfitter', 'ski chalet', 'cable car', 'apres ski bar', 'ski resort area', 'snow sports', 'disc golf', 'sailing club', 'golf driving range', 'surfing', 'ski trail', 'fishing store', 'surf store', 'fishing area', 'climbing gym', 'hockey rink', 'sports recreation'];[0.5856418609619141, 0.4899660348892212, 0.42891162633895874, 0.40426304936408997, 0.3988094925880432, 0.39284569025039673, 0.39096778631210327, 0.38567379117012024, 0.38350164890289307, 0.3291324973106384, 0.32135677337646484, 0.32102447748184204, 0.31946998834609985, 0.3083270192146301, 0.30744072794914246, 0.2936599552631378, 0.2927013635635376, 0.290927916765213, 0.28705886006355286, 0.2854057550430298];ski chairlift;An overhead tow-line for skiers and riders with platters.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > platter
rope tow;aerialway > rope tow;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;['ski chairlift', 'cable car', 'ski store', 'rafting outfitter', 'ski resort area', 'ski trail', 'ski lodge', 'swimming', 'apres ski bar', 'snow sports', 'personal trainer', 'canal lock', 'fishing store', 'ski chalet', 'towing service', 'golf store', 'skydiving center', 'climbing gym', 'canoe kayak rental', 'fishing area'];[0.607961893081665, 0.4470427930355072, 0.4450033903121948, 0.4437304735183716, 0.39635634422302246, 0.3936893343925476, 0.3894526958465576, 0.386563241481781, 0.37922215461730957, 0.35787421464920044, 0.3576609194278717, 0.3450161814689636, 0.3411094546318054, 0.3382301926612854, 0.3359932601451874, 0.33572182059288025, 0.3321165442466736, 0.3310481905937195, 0.3306828439235687, 0.32870733737945557];ski resort area;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;0;aerialway;aerialway > rope tow
magic carpet;aerialway > magic carpet;A ski lift for small children resembling a conveyor belt.;['ski chairlift', 'ski store', 'playground', 'ski trail', 'carpet store', 'gymnastics', 'circus school', 'carpet flooring contractor', 'toy store', 'childrens clothing store', 'circus', 'baby store', 'skydiving center', 'dive store', 'skating rink', 'gymnastics center', 'amusement park', 'skate store', 'cable car', 'surf store'];[0.5093278884887695, 0.4117966294288635, 0.3912280201911926, 0.3901585042476654, 0.37886735796928406, 0.3659524917602539, 0.3629763126373291, 0.3548557460308075, 0.33588558435440063, 0.3292367458343506, 0.3269873857498169, 0.3257448673248291, 0.32314348220825195, 0.31842607259750366, 0.3138383626937866, 0.3131667375564575, 0.30962488055229187, 0.30611300468444824, 0.3044988214969635, 0.3044068217277527];ski chairlift;A ski lift for small children resembling a conveyor belt.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > magic carpet
zip line;aerialway > zip line;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;['plane', 'cable car', 'rafting outfitter', 'skydiving drop zone', 'heliport', 'climbing gym', 'bridge', 'ski chairlift', 'skydiving center', 'rugby', 'structure', 'rock climbing spot', 'windmill', 'waterfall', 'flight school', 'golf driving range', 'stable', 'circus', 'race track', 'swimming'];[0.32425612211227417, 0.31289219856262207, 0.3096282482147217, 0.2993294894695282, 0.2870229482650757, 0.2816281318664551, 0.2803175449371338, 0.2795412838459015, 0.27875345945358276, 0.2530936598777771, 0.23833727836608887, 0.23738941550254822, 0.23034268617630005, 0.22775936126708984, 0.22538165748119354, 0.2212003916501999, 0.21999666094779968, 0.21786397695541382, 0.2156161367893219, 0.21309852600097656];structure;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;sports recreation;sports recreation;0;0;aerialway;aerialway > zip line
goods;aerialway > goods;A cable supported lift for conveying goods, not passengers.;['cable car', 'transportation service', 'shipping freight material transportation service', 'boat ferry', 'train', 'travel transportation', 'platform', 'ski chairlift', 'airport service', 'plane', 'airport', 'taxi stand', 'port', 'taxi', 'public transportation', 'heliport', 'airfield', 'international airport', 'border crossing', 'airport gate'];[0.6240173578262329, 0.43951791524887085, 0.4317208528518677, 0.4295669496059418, 0.42736533284187317, 0.41583794355392456, 0.4144097566604614, 0.4098135828971863, 0.39858439564704895, 0.3953843414783478, 0.39459672570228577, 0.37623175978660583, 0.3745303750038147, 0.3703911304473877, 0.36261868476867676, 0.36250799894332886, 0.3538602888584137, 0.35009145736694336, 0.34976646304130554, 0.34786316752433777];cable car;A cable supported lift for conveying goods, not passengers.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > goods
pylon;aerialway > pylon;A pylon supporting the aerialway cable.;['cable car', 'plane', 'heliport', 'rafting outfitter', 'bridge', 'rugby', 'fishing store', 'structure', 'canal lock', 'rugby pitch', 'residential building', 'soccer store', 'climbing gym', 'framing store', 'platform', 'hunting supply store', 'hiking trail', 'bowling green', 'hot air balloon tour agency', 'golf store'];[0.3085573613643646, 0.27157461643218994, 0.23117204010486603, 0.22250597178936005, 0.2112932950258255, 0.21053972840309143, 0.19317156076431274, 0.18783073127269745, 0.1839844286441803, 0.18387864530086517, 0.18203690648078918, 0.17857879400253296, 0.17395895719528198, 0.17152690887451172, 0.16988390684127808, 0.16868776082992554, 0.16864904761314392, 0.16832706332206726, 0.16782107949256897, 0.16768650710582733];cable car;A pylon supporting the aerialway cable.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > pylon
station;aerialway > station;A station where passengers and/or goods can enter and/or leave the aerialway;['airport', 'airfield', 'airport gate', 'airport service', 'international airport', 'heliport', 'transport hub', 'light rail station', 'rest area', 'airport terminal', 'travel lounge', 'taxi stand', 'metro station', 'rail station', 'travel transportation', 'taxi', 'transportation service', 'airport lounge', 'airport tram station', 'tram station'];[0.48235368728637695, 0.4410526752471924, 0.43365347385406494, 0.42326584458351135, 0.4131056070327759, 0.3976118564605713, 0.3867949843406677, 0.3735184073448181, 0.37271904945373535, 0.37211963534355164, 0.3674737513065338, 0.36666369438171387, 0.3660350441932678, 0.3646638095378876, 0.35731053352355957, 0.3545135259628296, 0.3540593385696411, 0.35177916288375854, 0.3512226939201355, 0.3498448431491852];transportation service;A station where passengers and/or goods can enter and/or leave the aerialway;travel transportation > transport hub > airport;airport;0;0;aerialway;aerialway > station
aerodrome;aeroway > aerodrome;An aerodrome, airport or airfield;['airport service', 'international airport', 'airport lounge', 'airport gate', 'airport', 'private airport', 'airfield', 'airport tram station', 'heliport', 'airport terminal', 'plane', 'airport ticket counter', 'airport food court', 'hot air balloon tour agency', 'amphitheater', 'flight school', 'skydiving center', 'baggage claim', 'taxi stand', 'boxing gym'];[0.5416620969772339, 0.5062369108200073, 0.5052295923233032, 0.4991898238658905, 0.4721830487251282, 0.4674937129020691, 0.45723292231559753, 0.4334266781806946, 0.3879891335964203, 0.38736310601234436, 0.36756259202957153, 0.35145002603530884, 0.34686124324798584, 0.3222721219062805, 0.3209119439125061, 0.3187488913536072, 0.3177034258842468, 0.30230310559272766, 0.28198206424713135, 0.2786964476108551];airport;An aerodrome, airport or airfield;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > aerodrome
aircraft crossing;aeroway > aircraft crossing;A point where the flow of traffic is impacted by crossing aircraft.;['border crossing', 'intersection', 'airport service', 'toll booth', 'international airport', 'plane', 'toll plaza', 'airport gate', 'airport', 'cable car', 'bridge', 'airport ticket counter', 'bus line', 'airport terminal', 'private airport', 'transport hub', 'road', 'pedestrian plaza', 'hot air balloon tour agency', 'tunnel'];[0.4377050995826721, 0.3762986958026886, 0.34124499559402466, 0.32462364435195923, 0.3203291594982147, 0.31660306453704834, 0.30856433510780334, 0.30677342414855957, 0.3006317913532257, 0.28663328289985657, 0.2816556990146637, 0.2667437791824341, 0.2605297267436981, 0.2557045519351959, 0.24628160893917084, 0.2374081015586853, 0.23575210571289062, 0.23050856590270996, 0.2293243706226349, 0.2290121614933014];airport service;A point where the flow of traffic is impacted by crossing aircraft.;travel transportation > road > intersection;intersection;0;0;aeroway;aeroway > aircraft crossing
apron;aeroway > apron;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;['airfield', 'airport gate', 'airport', 'baggage claim', 'international airport', 'airport service', 'airport terminal', 'port', 'plane', 'private airport', 'airport lounge', 'marine terminal', 'platform', 'airport ticket counter', 'baggage locker', 'parking', 'airport food court', 'airport tram station', 'taxi stand', 'heliport'];[0.5414177775382996, 0.501230001449585, 0.4951251149177551, 0.4727441072463989, 0.45649129152297974, 0.4367150068283081, 0.4175414443016052, 0.41589391231536865, 0.4023754298686981, 0.383652925491333, 0.3794177174568176, 0.36652642488479614, 0.3316332995891571, 0.32986021041870117, 0.32226821780204773, 0.3177626132965088, 0.3173799514770508, 0.31146734952926636, 0.30483466386795044, 0.2901417016983032];airport;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > apron
gate;aeroway > gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;['airport gate', 'airport terminal', 'platform', 'international airport', 'airfield', 'travel lounge', 'airport', 'airport service', 'taxi stand', 'airport lounge', 'plane', 'private airport', 'airport ticket counter', 'airport tram station', 'baggage claim', 'flight school', 'port', 'heliport', 'marine terminal', 'airport food court'];[0.5555360317230225, 0.4894241392612457, 0.47475457191467285, 0.43590572476387024, 0.39964866638183594, 0.3900342285633087, 0.38655126094818115, 0.3734642267227173, 0.36652612686157227, 0.34726762771606445, 0.3262164890766144, 0.3244178891181946, 0.31919705867767334, 0.31673431396484375, 0.30779576301574707, 0.2856656312942505, 0.28399741649627686, 0.2827344834804535, 0.2680666446685791, 0.2659676969051361];airport gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;travel transportation > transport hub > airport > airport gate;airport gate;1;1;aeroway;aeroway > gate
hangar;aeroway > hangar;A large airport building with extensive floor area for housing aircraft or spacecraft.;['airfield', 'airport gate', 'heliport', 'airport', 'airport lounge', 'plane', 'airport service', 'platform', 'international airport', 'airport terminal', 'cabin', 'private airport', 'boarding house', 'airport tram station', 'hot air balloon tour agency', 'lodge', 'palace', 'airport ticket counter', 'baggage claim', 'marine terminal'];[0.5673114657402039, 0.4845380187034607, 0.48451313376426697, 0.4804345667362213, 0.4782111644744873, 0.4613948464393616, 0.4396076500415802, 0.4257391095161438, 0.4027032256126404, 0.39956963062286377, 0.3903379440307617, 0.389639675617218, 0.3736955523490906, 0.3719208836555481, 0.3615528643131256, 0.34998100996017456, 0.3377644419670105, 0.32950329780578613, 0.32881394028663635, 0.3207300901412964];airport;A large airport building with extensive floor area for housing aircraft or spacecraft.;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > hangar
helipad;aeroway > helipad;A landing area or platform designed for helicopters;['heliport', 'plane', 'airfield', 'airport gate', 'platform', 'skydiving center', 'airport', 'skydiving drop zone', 'airport service', 'hill', 'airport lounge', 'ski chairlift', 'private airport', 'skate park', 'flight school', 'hot air balloon tour agency', 'field', 'surf spot', 'structure', 'disc golf course'];[0.7863665223121643, 0.41074663400650024, 0.3903220593929291, 0.38572457432746887, 0.35532230138778687, 0.3553045392036438, 0.3458346724510193, 0.3193759322166443, 0.2970340847969055, 0.2748071551322937, 0.2585214078426361, 0.24918514490127563, 0.24870571494102478, 0.24369506537914276, 0.24125906825065613, 0.24112656712532043, 0.24105854332447052, 0.24079252779483795, 0.23604226112365723, 0.2359190583229065];heliport;A landing area or platform designed for helicopters;travel transportation > transport hub > heliport;heliport;1;1;aeroway;aeroway > helipad
heliport;aeroway > heliport;A special aerodrome built for helicopters.;['heliport', 'plane', 'airport service', 'airport gate', 'airport lounge', 'private airport', 'airfield', 'skydiving center', 'airport', 'hot air balloon tour agency', 'international airport', 'airport tram station', 'skydiving drop zone', 'flight school', 'airport terminal', 'palace', 'plaza', 'structure', 'bowling green', 'golf driving range'];[0.7343195676803589, 0.4519861340522766, 0.39548707008361816, 0.3880805969238281, 0.38797491788864136, 0.38135194778442383, 0.34938180446624756, 0.3456202745437622, 0.3416293263435364, 0.3212006688117981, 0.3089423179626465, 0.28998053073883057, 0.28654876351356506, 0.2807537913322449, 0.26817405223846436, 0.2668745219707489, 0.2634337842464447, 0.24771973490715027, 0.24696484208106995, 0.2433008849620819];heliport;A special aerodrome built for helicopters.;travel transportation > transport hub > heliport;heliport;1;1;aeroway;aeroway > heliport
navigationaid;aeroway > navigationaid;A facility that supports visual navigation for aircraft;['flight school', 'hot air balloon tour agency', 'skydiving center', 'airport service', 'airport gate', 'observatory', 'tourist information service', 'skydiving drop zone', 'optometrist', 'plane', 'scenic lookout', 'rafting outfitter', 'airport', 'travel agency', 'gymnastics center', 'zoo exhibit', 'heliport', 'platform', 'driving school', 'tunnel'];[0.33626723289489746, 0.3306143879890442, 0.32276102900505066, 0.3205670118331909, 0.31253761053085327, 0.2978134751319885, 0.2952728867530823, 0.29131951928138733, 0.2882566452026367, 0.2813093662261963, 0.2804931402206421, 0.2745039463043213, 0.26932209730148315, 0.2653309106826782, 0.26262423396110535, 0.2611623704433441, 0.256109356880188, 0.25481224060058594, 0.2526730000972748, 0.2509543299674988];airport service;A facility that supports visual navigation for aircraft;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > navigationaid
runway;aeroway > runway;A strip of land on which aircraft can take off and land.;['airport', 'airfield', 'airport gate', 'heliport', 'plane', 'platform', 'airport service', 'flight school', 'international airport', 'island', 'hill', 'gymnastics', 'rugby', 'skydiving drop zone', 'building land surveyor', 'baggage claim', 'bay', 'airport terminal', 'ski chairlift', 'airport tram station'];[0.44938552379608154, 0.44349533319473267, 0.4037390947341919, 0.36120182275772095, 0.3211480975151062, 0.2714312672615051, 0.26489686965942383, 0.25974708795547485, 0.2551373839378357, 0.25086283683776855, 0.24914133548736572, 0.2463650405406952, 0.23933005332946777, 0.23150119185447693, 0.21618059277534485, 0.21276623010635376, 0.21155449748039246, 0.20959261059761047, 0.20172372460365295, 0.19882303476333618];airfield;A strip of land on which aircraft can take off and land.;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > runway
spaceport;aeroway > spaceport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;['airport', 'international airport', 'airport service', 'marine terminal', 'airport terminal', 'airfield', 'airport tram station', 'airport gate', 'airport lounge', 'airport ticket counter', 'light rail station', 'private airport', 'pedestrian plaza', 'heliport', 'platform', 'observatory', 'flight school', 'track stadium', 'college stadium', 'hot air balloon tour agency'];[0.48004478216171265, 0.4289858341217041, 0.41887927055358887, 0.41871052980422974, 0.41247832775115967, 0.3947804570198059, 0.38396841287612915, 0.3815256357192993, 0.37165409326553345, 0.35420316457748413, 0.33674538135528564, 0.3365135192871094, 0.3354523181915283, 0.3283849358558655, 0.3183256983757019, 0.30985310673713684, 0.30729734897613525, 0.30624932050704956, 0.30301302671432495, 0.30264946818351746];airport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;travel transportation;travel transportation;0;1;aeroway;aeroway > spaceport
taxiway;aeroway > taxiway;A route where airplanes manouevre between runways and parking areas within an aerodrome;['airfield', 'airport gate', 'airport', 'heliport', 'airport service', 'international airport', 'airport lounge', 'taxi stand', 'private airport', 'plane', 'parking', 'airport tram station', 'airport terminal', 'platform', 'transport hub', 'airport ticket counter', 'motel', 'airport food court', 'hot air balloon tour agency', 'pedestrian plaza'];[0.5641107559204102, 0.5208063125610352, 0.511807918548584, 0.5065256953239441, 0.4999035596847534, 0.4871004819869995, 0.482404887676239, 0.45529088377952576, 0.43384164571762085, 0.4334244728088379, 0.4024280309677124, 0.3989444077014923, 0.38419416546821594, 0.37270957231521606, 0.37270215153694153, 0.36216211318969727, 0.36116719245910645, 0.3470234274864197, 0.3430628180503845, 0.3404068946838379];airfield;A route where airplanes manouevre between runways and parking areas within an aerodrome;travel transportation > transport hub > airport > airfield;airfield;1;1;aeroway;aeroway > taxiway
