OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
cable car;aerialway > cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;['cable car', 'train', 'intersection', 'tram station', 'plane', 'ski chairlift', 'towing service', 'taxi stand', 'transport hub', 'electric vehicle charging station'];[0.6217359304428101, 0.3551778793334961, 0.3513522744178772, 0.3460535407066345, 0.30171525478363037, 0.29233869910240173, 0.27888768911361694, 0.2598227560520172, 0.2555178999900818, 0.2459307610988617];cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > cable car
gondola;aerialway > gondola;An aerialway where the cabins go around in a circle.;['campground', 'heliport', 'cabin', 'mountain hut', 'lodge', 'resort', 'beach', 'platform', 'hot air balloon tour agency', 'great outdoors'];[0.4323963224887848, 0.4263588786125183, 0.38365355134010315, 0.3728926181793213, 0.36949998140335083, 0.3483043909072876, 0.33705973625183105, 0.3365005850791931, 0.3332451581954956, 0.32913681864738464];great outdoors;An aerialway where the cabins go around in a circle.;sports recreation > snow sports > ski resort area;ski resort area;0;0;aerialway;aerialway > gondola
mixed lift;aerialway > mixed lift;A mixed lift, containing both gondolas and chairs.;['ski chairlift', 'plane', 'heliport', 'airport gate', 'platform', 'airport lounge', 'wings joint', 'amphitheater', 'airfield', 'airport'];[0.40856632590293884, 0.3875163197517395, 0.3863084018230438, 0.33094707131385803, 0.32257455587387085, 0.3086990714073181, 0.29371508955955505, 0.2814350128173828, 0.2710493803024292, 0.2689049243927002];ski chairlift;A mixed lift, containing both gondolas and chairs.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > mixed lift
chair lift;aerialway > chair lift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;['ski chairlift', 'skydiving center', 'amphitheater', 'platform', 'airport gate', 'airport lounge', 'plane', 'heliport', 'skydiving drop zone', 'airport'];[0.4358901381492615, 0.37696951627731323, 0.35391372442245483, 0.3276044726371765, 0.3262172341346741, 0.3206673264503479, 0.3176930546760559, 0.30783939361572266, 0.3049619197845459, 0.3038173317909241];ski chairlift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > chair lift
drag lift;aerialway > drag lift;An overhead tow-line for skiers and riders.;['ski chairlift', 'ski lodge', 'snow sports', 'rafting outfitter', 'cable car', 'ski store', 'ski trail', 'skydiving center', 'ski resort area', 'ski chalet'];[0.6415678262710571, 0.4467814266681671, 0.4229992926120758, 0.4213843047618866, 0.4202190041542053, 0.41506555676460266, 0.41293084621429443, 0.41004663705825806, 0.40865635871887207, 0.4077652394771576];ski chairlift;An overhead tow-line for skiers and riders.;sports recreation > snow sports > ski resort area;ski resort area;0;1;aerialway;aerialway > drag lift
tbar;aerialway > tbar;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;['ski chairlift', 'cable car', 'airport', 'ski store', 'plane', 'hot air balloon tour agency', 'train', 'airport gate', 'airport service', 'taxi'];[0.5058327317237854, 0.4414774179458618, 0.40549206733703613, 0.40311330556869507, 0.3903105854988098, 0.380329430103302, 0.37621212005615234, 0.37332528829574585, 0.3654072880744934, 0.36429280042648315];ski chairlift;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > tbar
jbar;aerialway > jbar;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;['ski chairlift', 'ski store', 'rafting outfitter', 'climbing gym', 'personal trainer', 'cable car', 'ski lodge', 'ski resort area', 'apres ski bar', 'golf store'];[0.5057717561721802, 0.38095441460609436, 0.34789931774139404, 0.3412107229232788, 0.34017401933670044, 0.34015601873397827, 0.33976197242736816, 0.33478063344955444, 0.32483649253845215, 0.3206707835197449];ski chairlift;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > jbar
platter;aerialway > platter;An overhead tow-line for skiers and riders with platters.;['ski chairlift', 'ski lodge', 'ski store', 'rafting outfitter', 'ski chalet', 'cable car', 'apres ski bar', 'ski resort area', 'snow sports', 'disc golf'];[0.5856418609619141, 0.4899660348892212, 0.42891162633895874, 0.40426304936408997, 0.3988094925880432, 0.39284569025039673, 0.39096778631210327, 0.38567379117012024, 0.38350164890289307, 0.3291324973106384];ski chairlift;An overhead tow-line for skiers and riders with platters.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > platter
rope tow;aerialway > rope tow;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;['ski chairlift', 'cable car', 'ski store', 'rafting outfitter', 'ski resort area', 'ski trail', 'ski lodge', 'swimming', 'apres ski bar', 'snow sports'];[0.607961893081665, 0.4470427930355072, 0.4450033903121948, 0.4437304735183716, 0.39635634422302246, 0.3936893343925476, 0.3894526958465576, 0.386563241481781, 0.37922215461730957, 0.35787421464920044];ski resort area;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;0;aerialway;aerialway > rope tow
magic carpet;aerialway > magic carpet;A ski lift for small children resembling a conveyor belt.;['ski chairlift', 'ski store', 'playground', 'ski trail', 'carpet store', 'gymnastics', 'circus school', 'carpet flooring contractor', 'toy store', 'childrens clothing store'];[0.5093278884887695, 0.4117966294288635, 0.3912280201911926, 0.3901585042476654, 0.37886735796928406, 0.3659524917602539, 0.3629763126373291, 0.3548557460308075, 0.33588558435440063, 0.3292367458343506];ski chairlift;A ski lift for small children resembling a conveyor belt.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > magic carpet
