OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
cable car;aerialway > cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;['cable car', 'train', 'intersection', 'tram station', 'plane'];[0.6217359304428101, 0.3551778793334961, 0.3513522744178772, 0.3460535407066345, 0.30171525478363037];cable car;A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > cable car
gondola;aerialway > gondola;An aerialway where the cabins go around in a circle.;['campground', 'heliport', 'cabin', 'mountain hut', 'lodge'];[0.4323963224887848, 0.4263588786125183, 0.38365355134010315, 0.3728926181793213, 0.36949998140335083];heliport;An aerialway where the cabins go around in a circle.;sports recreation > snow sports > ski resort area;ski resort area;0;0;aerialway;aerialway > gondola
mixed lift;aerialway > mixed lift;A mixed lift, containing both gondolas and chairs.;['ski chairlift', 'plane', 'heliport', 'airport gate', 'platform'];[0.40856632590293884, 0.3875163197517395, 0.3863084018230438, 0.33094707131385803, 0.32257455587387085];ski chairlift;A mixed lift, containing both gondolas and chairs.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > mixed lift
chair lift;aerialway > chair lift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;['ski chairlift', 'skydiving center', 'amphitheater', 'platform', 'airport gate'];[0.4358901381492615, 0.37696951627731323, 0.35391372442245483, 0.3276044726371765, 0.3262172341346741];ski chairlift;An open chairlift run. These have one or more seats or benches and are open to the outside air.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > chair lift
drag lift;aerialway > drag lift;An overhead tow-line for skiers and riders.;['ski chairlift', 'ski lodge', 'snow sports', 'rafting outfitter', 'cable car'];[0.6415678262710571, 0.4467814266681671, 0.4229992926120758, 0.4213843047618866, 0.4202190041542053];ski chairlift;An overhead tow-line for skiers and riders.;sports recreation > snow sports > ski resort area;ski resort area;0;1;aerialway;aerialway > drag lift
tbar;aerialway > tbar;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;['ski chairlift', 'cable car', 'airport', 'ski store', 'plane'];[0.5058327317237854, 0.4414774179458618, 0.40549206733703613, 0.40311330556869507, 0.3903105854988098];ski chairlift;An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > tbar
jbar;aerialway > jbar;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;['ski chairlift', 'ski store', 'rafting outfitter', 'climbing gym', 'personal trainer'];[0.5057717561721802, 0.38095441460609436, 0.34789931774139404, 0.3412107229232788, 0.34017401933670044];ski chairlift;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > jbar
platter;aerialway > platter;An overhead tow-line for skiers and riders with platters.;['ski chairlift', 'ski lodge', 'ski store', 'rafting outfitter', 'ski chalet'];[0.5856418609619141, 0.4899660348892212, 0.42891162633895874, 0.40426304936408997, 0.3988094925880432];ski chairlift;An overhead tow-line for skiers and riders with platters.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > platter
rope tow;aerialway > rope tow;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;['ski chairlift', 'cable car', 'ski store', 'rafting outfitter', 'ski resort area'];[0.607961893081665, 0.4470427930355072, 0.4450033903121948, 0.4437304735183716, 0.39635634422302246];ski resort area;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;0;0;aerialway;aerialway > rope tow
magic carpet;aerialway > magic carpet;A ski lift for small children resembling a conveyor belt.;['ski chairlift', 'ski store', 'playground', 'ski trail', 'carpet store'];[0.5093278884887695, 0.4117966294288635, 0.3912280201911926, 0.3901585042476654, 0.37886735796928406];ski chairlift;A ski lift for small children resembling a conveyor belt.;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift;1;1;aerialway;aerialway > magic carpet
zip line;aerialway > zip line;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;['plane', 'cable car', 'rafting outfitter', 'skydiving drop zone', 'heliport'];[0.32425612211227417, 0.31289219856262207, 0.3096282482147217, 0.2993294894695282, 0.2870229482650757];cable car;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;sports recreation;sports recreation;0;0;aerialway;aerialway > zip line
goods;aerialway > goods;A cable supported lift for conveying goods, not passengers.;['cable car', 'transportation service', 'shipping freight material transportation service', 'boat ferry', 'train'];[0.6240173578262329, 0.43951791524887085, 0.4317208528518677, 0.4295669496059418, 0.42736533284187317];shipping freight material transportation service;A cable supported lift for conveying goods, not passengers.;travel transportation > cable car;cable car;0;0;aerialway;aerialway > goods
pylon;aerialway > pylon;A pylon supporting the aerialway cable.;['cable car', 'plane', 'heliport', 'rafting outfitter', 'bridge'];[0.3085573613643646, 0.27157461643218994, 0.23117204010486603, 0.22250597178936005, 0.2112932950258255];cable car;A pylon supporting the aerialway cable.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > pylon
